Week,Date,Visitor,VisitorScore,Home,HomeScore,OT
Week 1,9/5/2024,BAL,20,KC,27,
Week 1,9/6/2024,GB,29,PHI,34,
Week 1,9/8/2024,CAR,10,NO,47,
Week 1,9/8/2024,TEN,17,CHI,24,
Week 1,9/8/2024,NE,16,CIN,10,
Week 1,9/8/2024,PIT,18,ATL,10,
Week 1,9/8/2024,ARI,28,BUF,34,
Week 1,9/8/2024,MIN,28,NYG,6,
Week 1,9/8/2024,JAX,17,MIA,20,
Week 1,9/8/2024,HOU,29,IND,27,
Week 1,9/8/2024,LV,10,LAC,22,
Week 1,9/8/2024,DEN,20,SEA,26,
Week 1,9/8/2024,WAS,20,TB,37,
Week 1,9/8/2024,DAL,33,CLE,17,
Week 1,9/8/2024,LA,20,DET,26,OT
Week 1,9/9/2024,NYJ,19,SF,32,
Week 2,9/12/2024,BUF,31,MIA,10,
Week 2,9/15/2024,SF,17,MIN,23,
Week 2,9/15/2024,NO,44,DAL,19,
Week 2,9/15/2024,IND,10,GB,16,
Week 2,9/15/2024,NYJ,24,TEN,17,
Week 2,9/15/2024,NYG,18,WAS,21,
Week 2,9/15/2024,LAC,26,CAR,3,
Week 2,9/15/2024,CLE,18,JAX,13,
Week 2,9/15/2024,LV,26,BAL,23,
Week 2,9/15/2024,TB,20,DET,16,
Week 2,9/15/2024,SEA,23,NE,20,OT
Week 2,9/15/2024,LA,10,ARI,41,
Week 2,9/15/2024,PIT,13,DEN,6,
Week 2,9/15/2024,CIN,25,KC,26,
Week 2,9/15/2024,CHI,13,HOU,19,
Week 2,9/16/2024,ATL,22,PHI,21,
Week 3,9/19/2024,NE,3,NYJ,24,
Week 3,9/22/2024,GB,30,TEN,14,
Week 3,9/22/2024,HOU,7,MIN,34,
Week 3,9/22/2024,PHI,15,NO,12,
Week 3,9/22/2024,CHI,16,IND,21,
Week 3,9/22/2024,LAC,10,PIT,20,
Week 3,9/22/2024,DEN,26,TB,7,
Week 3,9/22/2024,NYG,21,CLE,15,
